#####
thunder01
PS2_Status       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PSU1_HOTSPOT     | 46.000     | degrees C  | ok    | -128.000  | 0.000     | 0.000     | 67.000    | 70.000    | 127.000   
PSU2_HOTSPOT     | 45.000     | degrees C  | ok    | -128.000  | 0.000     | 0.000     | 67.000    | 70.000    | 127.000   
P_0V6_0123       | 0.595      | Volts      | ok    | na        | 0.511     | 0.539     | 0.665     | 0.693     | na        
P_0V6_4567       | 0.595      | Volts      | ok    | na        | 0.511     | 0.539     | 0.665     | 0.693     | na        
P_0V85_VDDC      | 0.903      | Volts      | ok    | 0.630     | na        | na        | na        | 1.078     | na        
P_12V            | 12.155     | Volts      | ok    | na        | 10.270    | 10.790    | 13.130    | 13.650    | na        
P_1V5_VDDH       | 1.558      | Volts      | ok    | na        | 1.176     | 1.308     | 1.852     | 1.896     | na        
P_1V8_PCP        | 1.843      | Volts      | ok    | na        | 1.426     | 1.541     | 2.059     | 2.174     | na        
P_1V8_VDDH       | 1.843      | Volts      | ok    | na        | 1.426     | 1.541     | 2.059     | 2.174     | na        
P_3V3            | 3.304      | Volts      | ok    | na        | 2.820     | 2.958     | 3.616     | 3.754     | na        
P_3V3_SOC        | 3.276      | Volts      | ok    | na        | 2.730     | 2.898     | 3.696     | 3.864     | na        
P_5V             | 4.986      | Volts      | ok    | na        | 4.292     | 4.498     | 5.474     | 5.680     | na        
P_5V_STBY        | 5.011      | Volts      | ok    | na        | 4.292     | 4.498     | 5.474     | 5.680     | na        
P_VBAT           | 2.989      | Volts      | ok    | na        | 2.544     | 2.692     | na        | na        | na        
SOC_VDDCR        | 0.777      | Volts      | ok    | na        | 0.399     | 0.448     | 1.400     | 1.456     | na        
P_VDDCR_CPU      | 0.833      | Volts      | ok    | na        | 0.399     | 0.448     | 1.400     | 1.456     | na        
P_1V2_VDDIO_0123 | 1.197      | Volts      | ok    | na        | 1.022     | 1.071     | 1.323     | 1.358     | na        
P_1V2_VDDIO_4567 | 1.197      | Volts      | ok    | na        | 1.022     | 1.071     | 1.323     | 1.358     | na        
SYS_POWER        | 100.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
MB_DIMMG0_O_TEMP | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 115.000   | 120.000   | 127.000   
MB_DIMMG1_O_TEMP | 32.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 115.000   | 120.000   | 127.000   
MB_DIMMG1_I_TEMP | 32.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 115.000   | 120.000   | 127.000   
MB_DIMMG0_I_TEMP | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 115.000   | 120.000   | 127.000   
#####
snow02
Watchdog         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
SEL              | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
PSU1_PWR_OUT     | 44.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU1_PWR_IN      | 44.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU2_PWR_OUT     | 32.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU2_PWR_IN      | 44.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
CORE_PWR         | 102.000    | Watts      | ok    | na        | na        | na        | 212.000   | 240.000   | 256.000   
SOC_VOL          | 0.776      | Volts      | ok    | na        | 0.704     | 0.712     | 0.792     | 0.800     | na        
CORE_VOL         | 0.824      | Volts      | ok    | 0.712     | 0.688     | 0.680     | 1.120     | 1.160     | 1.184     
CPUDIMMG0_VOL    | 1.200      | Volts      | ok    | na        | 1.136     | 1.168     | 1.232     | 1.264     | na        
CPUDIMMG1_VOL    | 1.200      | Volts      | ok    | na        | 1.136     | 1.168     | 1.232     | 1.264     | na        
SOC_PWR          | 25.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
CPUDIMMG0_PWR    | 9.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
CPUDIMMG1_PWR    | 5.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
CPU0_Status      | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
SOC_TEMP         | 38.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 88.000    | 93.000    | 127.000   
CORE_VRD_TEMP    | 38.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 88.000    | 93.000    | 127.000   
CPU_DIMMG0_TEMP  | 37.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
CPU_DIMMG1_TEMP  | 36.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
M2_G0_AMB_TEMP   | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 0.000     | 100.000   | 105.000   | 127.000   
FRONT_PANEL_TEMP | 30.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
MB_CPU_OUT_TEMP  | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
